id,user_id,action,entity_type,entity_id,description,metadata_json,ip_address,user_agent,created_at
"1","9","CREATE_REPORT","temp_report","60002","1004 - Phạm Thị Dung tạo báo cáo công đoạn Gia công, ca C, máy LONG-01, sản phẩm C2556-2","{""machine_no"": ""LONG-01"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""C2556-2"", ""report_id"": 60002, ""shift"": ""C"", ""tt_ng"": 3, ""tt_ok"": 12000, ""work_date"": ""2026-07-20"", ""worker_code"": ""1004"", ""worker_id"": 4, ""worker_name"": ""Phạm Thị Dung""}","10.27.202.2","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-20 05:07:22"
"30001","2","REPORT_APPROVED","approved_report","90002","Duyệt báo cáo tạm #4 thành báo cáo chính thức #90002","{""approved_report_id"": 90002, ""process_id"": 2, ""shift"": ""A"", ""temp_report_id"": 4, ""work_date"": ""2026-07-14T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-20 05:58:19"
"30002","2","REPORT_APPROVED","approved_report","90003","Duyệt báo cáo tạm #24 thành báo cáo chính thức #90003","{""approved_report_id"": 90003, ""process_id"": 4, ""shift"": ""A"", ""temp_report_id"": 24, ""work_date"": ""2026-07-14T00:00:00.000Z"", ""worker_id"": 5}","","","2026-07-20 06:03:06"
"60001","2","REPORT_APPROVED","approved_report","120002","Duyệt báo cáo tạm #3 thành báo cáo chính thức #120002","{""approved_report_id"": 120002, ""process_id"": 1, ""shift"": ""D"", ""temp_report_id"": 3, ""work_date"": ""2026-07-13T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-20 07:52:09"
"90001","6","CREATE_REPORT","temp_report","90002","1001 - Nguyễn Văn An tạo báo cáo công đoạn Gia công, ca A, máy c0575, sản phẩm 5243-l","{""machine_no"": ""c0575"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""5243-l"", ""report_id"": 90002, ""shift"": ""A"", ""tt_ng"": 130, ""tt_ok"": 0, ""work_date"": ""2026-07-21"", ""worker_code"": ""1001"", ""worker_id"": 1, ""worker_name"": ""Nguyễn Văn An""}","10.25.90.1","Mozilla/5.0 (Linux; Android 15; Pixel 9) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36","2026-07-21 02:10:06"
"120001","4","REPORT_APPROVED","approved_report","150002","Duyệt báo cáo tạm #90002 thành báo cáo chính thức #150002","{""approved_report_id"": 150002, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 90002, ""work_date"": ""2026-07-21T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-21 02:53:33"
"150001","6","CREATE_REPORT","temp_report","120002","1001 - Nguyễn Văn An tạo báo cáo công đoạn Gia công, ca A, máy 5243-l, sản phẩm 5243-l","{""machine_no"": ""5243-l"", ""process_id"": 1, ""process_name"": ""Gia công"", ""product_name"": ""5243-l"", ""report_id"": 120002, ""shift"": ""A"", ""tt_ng"": 0, ""tt_ok"": 1000, ""work_date"": ""2026-07-21"", ""worker_code"": ""1001"", ""worker_id"": 1, ""worker_name"": ""Nguyễn Văn An""}","10.25.90.1","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36","2026-07-21 03:27:49"
"150002","4","REPORT_APPROVED","approved_report","180002","Duyệt báo cáo tạm #120002 thành báo cáo chính thức #180002","{""approved_report_id"": 180002, ""process_id"": 1, ""shift"": ""A"", ""temp_report_id"": 120002, ""work_date"": ""2026-07-21T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-21 03:28:49"
"180001","2","REPORT_APPROVED","approved_report","210002","Duyệt báo cáo tạm #2 thành báo cáo chính thức #210002","{""approved_report_id"": 210002, ""process_id"": 2, ""shift"": ""C"", ""temp_report_id"": 2, ""work_date"": ""2026-07-12T00:00:00.000Z"", ""worker_id"": 1}","","","2026-07-21 05:06:18"
"180002","2","REPORT_APPROVED","approved_report","210003","Duyệt báo cáo tạm #6 thành báo cáo chính thức #210003","{""approved_report_id"": 210003, ""process_id"": 1, ""shift"": ""C"", ""temp_report_id"": 6, ""work_date"": ""2026-07-11T00:00:00.000Z"", ""worker_id"": 2}","","","2026-07-21 05:06:19"
