id,user_id,worker_code,phone,department,position,training_percent,status,created_at,updated_at
"1","6","1001","0901000001","Sản xuất","Công nhân","100.00","inactive","2026-07-20 01:57:38","2026-07-22 09:20:01"
"2","7","1002","0901000002","Sản xuất","Công nhân","90.00","inactive","2026-07-20 01:57:38","2026-07-22 09:20:01"
"3","8","1003","0901000003","Sản xuất","Công nhân","70.00","inactive","2026-07-20 01:57:38","2026-07-22 09:20:01"
"4","9","1004","0901000004","Sản xuất","Công nhân","100.00","inactive","2026-07-20 01:57:38","2026-07-22 09:20:01"
"5","10","1005","0901000005","Sản xuất","Công nhân","50.00","inactive","2026-07-20 01:57:38","2026-07-22 09:20:01"
"30001","30001","599","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:17","2026-07-22 08:37:00"
"30002","30002","1246","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:19","2026-07-22 08:37:00"
"30003","30003","1333","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:21","2026-07-22 08:37:00"
"30004","30004","1476","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:22","2026-07-22 08:37:00"
"30005","30005","1541","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:24","2026-07-22 08:37:00"
"30006","30006","1845","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:26","2026-07-22 08:37:00"
"30007","30007","1850","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:27","2026-07-22 08:37:00"
"30008","30008","2009","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:29","2026-07-22 08:37:00"
"30009","30009","2278","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:31","2026-07-22 08:37:00"
"30010","30010","2374","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:32","2026-07-22 08:37:00"
"30011","30011","2564","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:34","2026-07-22 08:37:00"
"30012","30012","2865","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:37","2026-07-22 08:37:00"
"30013","30013","2959","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:39","2026-07-22 08:37:00"
"30014","30014","3244","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:40","2026-07-22 08:37:00"
"30015","30015","3268","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:42","2026-07-22 08:37:00"
"30016","30016","3277","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:44","2026-07-22 08:37:00"
"30017","30017","3295","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:45","2026-07-22 08:37:00"
"30018","30018","3349","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:47","2026-07-22 08:37:00"
"30019","30019","3351","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:49","2026-07-22 08:37:00"
"30020","30020","3590","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:50","2026-07-22 08:37:00"
"30021","30021","3605","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:52","2026-07-22 08:37:00"
"30022","30022","3606","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:54","2026-07-22 08:37:00"
"30023","30023","3607","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:56","2026-07-22 08:37:00"
"30024","30024","3638","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:57","2026-07-22 08:37:00"
"30025","30025","3653","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:11:59","2026-07-22 08:37:00"
"30026","30026","3715","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:01","2026-07-22 08:37:00"
"30027","30027","3752","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:03","2026-07-22 08:37:00"
"30028","30028","3832","","Sản xuất","Công nhân","100.00","active","2026-07-21 01:12:04","2026-07-22 08:37:00"
